Tile, Lat, Long, Height, m East, m North
11,-26.70094317,116.6692851,377.018,-149.785,265.814
12,-26.70090368,116.6698319,377.291,-95.365,270.188
13,-26.70094128,116.6699007,377.315,-88.512,266.021
14,-26.70100978,116.6699993,377.297,-78.698,258.431
15,-26.70109983,116.6699165,377.344,-86.94,248.452
16,-26.70113922,116.6697619,377.264,-102.325,244.088
17,-26.70115554,116.6698521,377.275,-93.346,242.279
18,-26.70135417,116.6692997,377.22,-148.33,220.271
21,-26.70079159,116.6694543,377.01,-132.939,282.611
22,-26.70085578,116.6693847,377.026,-139.867,275.498
23,-26.70077134,116.6695475,377.058,-123.667,284.854
24,-26.70080288,116.6698567,377.261,-92.889,281.358
25,-26.70078951,116.670008,377.26,-77.835,282.839
26,-26.70083713,116.6699513,377.307,-83.476,277.563
27,-26.70088158,116.6700165,377.304,-76.988,272.637
28,-26.7007258,116.6690216,376.632,-176.006,289.903
31,-26.70152311,116.6705527,376.808,-23.62,201.546
32,-26.70133534,116.6705509,376.876,-23.802,222.353
33,-26.70121967,116.6703832,376.965,-40.489,235.17
34,-26.70119849,116.6702422,377.128,-54.527,237.518
35,-26.70107852,116.6701385,377.244,-64.851,250.813
36,-26.70100101,116.670086,377.272,-70.075,259.402
37,-26.70096243,116.6701866,377.186,-60.057,263.676
38,-26.70095459,116.6702809,377.106,-50.676,264.546
41,-26.70089542,116.6701069,377.242,-67.99,271.103
42,-26.70088818,116.6701866,377.21,-60.058,271.905
43,-26.70082579,116.6700778,377.259,-70.885,278.818
44,-26.70087608,116.6703325,377.072,-45.54,273.245
45,-26.7008488,116.670256,377.096,-53.156,276.268
46,-26.70096226,116.6705624,376.954,-22.659,263.694
47,-26.70077645,116.6702365,377.188,-55.097,284.285
48,-26.70087043,116.6706403,376.916,-14.9,273.87
61,-26.70138204,116.6697322,377.26,-105.281,217.18
62,-26.70126489,116.6698001,377.265,-98.53,230.162
63,-26.70127233,116.6699677,377.275,-81.845,229.337
64,-26.701193,116.6699909,377.275,-79.541,238.128
65,-26.70111292,116.6700353,377.26,-75.12,247.002
66,-26.70121284,116.6700765,377.244,-71.017,235.929
67,-26.70127548,116.6701614,377.214,-62.567,228.987
68,-26.70133957,116.6702807,377.082,-50.691,221.885
81,-26.69816917,116.6691778,374.801,-160.465,573.207
82,-26.70017899,116.6695035,376.581,-128.046,350.494
83,-26.70068851,116.670089,377.199,-69.771,294.031
84,-26.70065938,116.669999,377.203,-78.731,297.259
85,-26.70062641,116.6697457,377.058,-103.941,300.914
86,-26.70073486,116.6697836,377.164,-100.172,288.896
87,-26.69999265,116.6668168,374.538,-395.452,371.152
88,-26.69982907,116.6681421,375.339,-263.547,389.274
91,-26.70150438,116.6740669,373.957,326.141,203.608
92,-26.70159479,116.6725325,375.037,173.425,193.595
93,-26.70069923,116.6707648,376.899,-2.515,292.841
94,-26.70074772,116.6703223,377.122,-46.554,287.469
95,-26.70067144,116.670226,377.163,-56.141,295.922
96,-26.70017396,116.6704514,376.986,-33.705,351.048
97,-26.69850344,116.6712937,376.204,50.127,536.159
98,-26.69865699,116.6716429,376.336,84.88,519.141
HexE01,-26.700755,116.671683,376.24,86.373,284.121
HexE02,-26.700755,116.671824,376.172,100.347,284.097
HexE03,-26.700755,116.671964,375.922,114.346,284.092
HexE04,-26.700755,116.672105,375.764,128.34,284.104
HexE05,-26.700865,116.671613,376.232,79.369,271.986
HexE06,-26.700865,116.671753,376.061,93.339,271.976
HexE07,-26.700865,116.671894,375.941,107.365,271.957
HexE08,-26.700865,116.672035,375.816,121.355,271.991
HexE09,-26.700865,116.672175,375.651,135.367,271.962
HexE10,-26.700974,116.671542,376.226,72.38,259.848
HexE11,-26.700974,116.671683,376.091,86.349,259.844
HexE12,-26.700974,116.671824,375.948,100.373,259.847
HexE13,-26.700974,116.671964,375.814,114.357,259.839
HexE14,-26.700974,116.672105,375.685,128.346,259.848
HexE15,-26.700974,116.672246,375.498,142.36,259.849
HexE16,-26.701084,116.671472,376.221,65.362,247.723
HexE17,-26.701084,116.671613,376.088,79.366,247.742
HexE18,-26.701084,116.671753,375.943,93.355,247.743
HexE19,-26.701084,116.672035,375.71,121.369,247.744
HexE20,-26.701084,116.672175,375.576,135.353,247.721
HexE21,-26.701084,116.672316,375.392,149.358,247.731
HexE22,-26.701193,116.671543,376.085,72.363,235.61
HexE23,-26.701193,116.671683,375.969,86.344,235.606
