Tile,Lat,Long,Height,m East,m North,,
51.0,-26.70221568,116.6702318,376.804,-55.56,124.801,,
52.0,-26.70373329,116.6725731,375.008,177.467,-43.377,,
53.0,-26.702647,116.6705719,376.352,-21.71,77.005,,
54.0,-26.70406892,116.6717125,375.761,91.809,-80.565,,
55.0,-26.70568753,116.6723343,376.483,153.7,-259.929,,
56.0,-26.70354372,116.670111,376.175,-67.582,-22.361,,
57.0,-26.70370178,116.6696041,376.055,-118.037,-39.873,,
58.0,-26.70221212,116.6699107,377.033,-87.516,125.197,,
71.0,-26.70162921,116.6688209,377.167,-195.98,189.795,,
72.0,-26.70248331,116.6687987,377.028,-198.194,95.15,,
73.0,-26.7051124,116.667932,374.91,-284.457,-196.181,,
74.0,-26.70373931,116.6668901,375.384,-388.152,-44.022,,
75.0,-26.70348584,116.6662417,375.127,-452.686,-15.933,,
76.0,-26.70167088,116.6660796,374.772,-468.817,185.187,,
77.0,-26.7016897,116.6671275,375.752,-364.524,183.098,,
78.0,-26.7009372,116.6670764,375.256,-369.608,266.484,,
101.0,-26.69763418,116.665585,372.657,-518.046,632.503,,
102.0,-26.69788627,116.6658674,372.955,-489.943,604.568,,
103.0,-26.69959694,116.6650071,373.414,-575.557,415.008,,
104.0,-26.70425834,116.6649055,375.24,-585.675,-101.53,,
105.0,-26.70205837,116.6642244,374.497,-653.467,142.255,,
106.0,-26.70142747,116.6639072,374.276,-685.027,212.168,,
107.0,-26.70255699,116.6599428,377.101,-1079.598,87.018,,
108.0,-26.69815754,116.6604806,374.147,-1026.074,574.527,,
111.0,-26.68835506,116.6674367,371.294,-333.758,1660.732,,
112.0,-26.695237,116.6685078,373.762,-227.151,898.129,,
113.0,-26.69628823,116.6690446,374.267,-173.717,781.638,,
114.0,-26.69529227,116.6682083,373.56,-256.952,892.005,,
115.0,-26.69645739,116.6688306,374.142,-195.018,762.893,,
116.0,-26.69673882,116.6682817,373.844,-249.647,731.709,,
117.0,-26.69698595,116.6677688,373.56,-300.696,704.326,,
118.0,-26.69352253,116.6618531,370.536,-889.471,1088.136,,
121.0,-26.69066023,116.677988,374.798,716.393,1405.255,,
122.0,-26.6977624,116.6736844,375.171,288.066,618.265,,
123.0,-26.69640744,116.6731845,375.856,238.31,768.413,,
124.0,-26.6959444,116.6730797,375.805,227.878,819.724,,
125.0,-26.69598479,116.6714074,376.054,61.443,815.255,,
126.0,-26.69602746,116.6701985,375.222,-58.874,810.53,,
127.0,-26.69476663,116.671144,376.346,35.224,950.242,,
128.0,-26.69059632,116.6708003,373.839,1.015,1412.363,,
131.0,-26.69440553,116.6792294,372.828,839.943,990.227,,
132.0,-26.69559297,116.6826189,372.289,1177.294,858.632,,
133.0,-26.69834768,116.6839885,370.513,1313.611,553.372,,
134.0,-26.70113541,116.6763777,372.313,556.122,244.485,,
135.0,-26.7001001,116.6765326,372.545,571.541,359.21,,
136.0,-26.6995066,116.6757018,373.0,488.857,424.98,,
137.0,-26.69847588,116.6761011,372.834,528.598,539.194,,
138.0,-26.69745014,116.6746188,374.296,381.069,652.864,,
141.0,-26.70197201,116.6818518,369.162,1100.945,151.76,,
142.0,-26.70734153,116.6828584,368.456,1201.132,-443.25,,
143.0,-26.70572952,116.6758,373.245,498.629,-264.594,,
144.0,-26.70378357,116.6738163,374.625,301.193,-48.952,,
145.0,-26.70368845,116.6745141,374.351,370.648,-38.415,,
146.0,-26.70416431,116.6762591,372.836,544.324,-91.152,,
147.0,-26.70337076,116.675882,372.823,506.793,-3.216,,
148.0,-26.70266045,116.6760522,372.635,523.727,75.494,,
151.0,-26.71270664,116.6773588,371.189,653.774,-1037.748,,
152.0,-26.71087981,116.6752409,372.321,442.99,-835.306,,
153.0,-26.7079022,116.6701992,372.933,-58.801,-505.332,,
154.0,-26.70699719,116.6711624,374.047,37.065,-405.05,,
155.0,-26.70657154,116.6731295,375.276,232.842,-357.891,,
156.0,-26.7066488,116.6733821,375.237,257.984,-366.453,,
157.0,-26.70621611,116.6740624,375.045,325.688,-318.508,,
158.0,-26.70610601,116.6740665,375.144,326.101,-306.307,,
161.0,-26.70703353,116.6666459,373.996,-412.457,-409.06,,
162.0,-26.70713452,116.6693643,373.518,-141.898,-420.261,,
163.0,-26.71071785,116.6659645,375.791,-480.27,-817.324,,
164.0,-26.71113713,116.6650074,375.607,-575.533,-863.782,,
165.0,-26.7091075,116.6640178,375.408,-674.021,-638.871,,
166.0,-26.70555404,116.664446,375.58,-631.403,-245.107,,
167.0,-26.70487049,116.6644276,375.65,-633.237,-169.362,,
168.0,-26.7056673,116.6650776,375.277,-568.54,-257.66,,
 LBA1     ,-26.701451,116.650721,372.921,-1999.81,206.85,,
 LBA2     ,-26.702835,116.653029,374.44,-1770.14,53.59,,
 LBA3     ,-26.703898,116.654736,375.535,-1600.21,-64.26,,
 LBA4     ,-26.705072,116.656012,376.218,-1473.17,-194.32,,
 LBA5     ,-26.707413,116.657076,374.906,-1367.27,-453.65,,
 LBA6     ,-26.708461,116.659029,374.774,-1172.92,-569.74,,
 LBA7     ,-26.709624,116.659752,374.122,-1100.97,-698.66,,
 LBA8     ,-26.710356,116.661879,374.406,-889.29,-779.73,,
 LBB1     ,-26.680184,116.662484,369.515,-829.33,2563.46,,
 LBB2     ,-26.677782,116.667494,373.367,-330.61,2829.62,,
 LBB3     ,-26.684914,116.66624,370.946,-455.36,2039.45,,
 LBB4     ,-26.679455,116.669056,373.959,-175.09,2644.3,,
 LBB5     ,-26.68398,116.670287,373.188,-52.55,2142.93,,
 LBB6     ,-26.680435,116.678617,377.701,776.55,2535.7,,
 LBB7     ,-26.682091,116.676048,376.345,520.82,2352.17,,
 LBB8     ,-26.68561,116.67411,374.381,327.91,1962.28,,
 LBC1     ,-26.68945,116.674472,374.634,363.95,1536.78,,
 LBC2     ,-26.683633,116.679612,377.049,875.57,2181.3,,
 LBC3     ,-26.688088,116.679654,376.532,879.78,1687.73,,
 LBC4     ,-26.681128,116.684488,380.61,1360.97,2458.85,,
 LBC5     ,-26.683885,116.687729,380.989,1683.51,2153.35,,
 LBC6     ,-26.686498,116.684593,378.974,1371.37,1863.8,,
 LBC7     ,-26.689801,116.687205,376.743,1631.27,1497.8,,
 LBC8     ,-26.690798,116.68312,376.459,1224.7,1387.35,,
 LBD1     ,-26.692061,116.689981,375.325,1907.59,1247.36,,
 LBD2     ,-26.687295,116.691461,378.581,2054.93,1775.43,,
 LBD3     ,-26.683334,116.694927,380.84,2400.04,2214.24,,
 LBD4     ,-26.687202,116.695345,377.353,2441.55,1785.7,,
 LBD5     ,-26.690973,116.694389,375.661,2346.29,1367.78,,
 LBD6     ,-26.686117,116.698653,378.428,2770.82,1905.8,,
 LBD7     ,-26.688512,116.702017,376.795,3105.64,1640.33,,
 LBD8     ,-26.690184,116.699673,376.452,2872.28,1455.11,,
 LBE1     ,-26.695692,116.687438,372.223,1654.37,845.05,,
 LBE2     ,-26.697635,116.690855,373.703,1994.47,629.74,,
 LBE3     ,-26.694055,116.6942,374.519,2327.42,1026.38,,
 LBE4     ,-26.699628,116.693304,371.502,2238.17,408.81,,
