x,y,z
-2560349.01945,5076213.46015,-2875119.26806
-2560250.17674,5076374.44987,-2874923.03848
-2560329.82816,5076267.18347,-2875041.50458
-2560166.47837,5076351.54978,-2875038.00776
-2560308.19494,5076309.61018,-2874985.85883
-2560297.13804,5076392.68542,-2874849.01662
-2560278.55642,5076350.84094,-2874939.4521
-2560267.02749,5076306.47579,-2875028.05409
-2560379.97829,5076298.2625,-2874941.96758
-2560172.86089,5076397.17119,-2874951.77049
-2560213.30968,5076377.46218,-2874950.55096
-2560432.58481,5076304.02333,-2874884.94402
-2560260.89407,5076282.01938,-2875076.69707
-2560296.04669,5076276.51167,-2875055.1178
-2560248.63694,5076341.84715,-2874981.97698
-2560118.89151,5076402.27877,-2874990.81137
-2560328.60001,5076335.36982,-2874922.20296
-2560416.70738,5076282.59238,-2874936.92571
-2560234.46525,5076319.23498,-2875034.52283
-2560317.17286,5076289.44458,-2875013.46939
-2560414.19769,5076258.93175,-2874980.93804
-2560422.61385,5076222.14125,-2875038.40169
-2560324.3686,5076247.52319,-2875081.07901
-2560268.01502,5076390.44957,-2874878.90089
-2560392.5488,5076329.99393,-2874874.74313
-2560239.03498,5076417.78267,-2874856.44503
-2560312.85096,5076361.2372,-2874890.55351
-2560270.79929,5076242.09844,-2875138.36056
-2560218.11776,5076296.42927,-2875089.34673
-2560358.75113,5076335.78771,-2874894.61302
-2560353.3225,5076244.40024,-2875060.80857
-2560371.60717,5076358.19203,-2874843.6026
-2560198.04304,5076284.6327,-2875128.05075
-2560451.41535,5076263.84058,-2874939.12464
-2560199.58735,5076326.43304,-2875052.87225
-2560143.26574,5076334.28005,-2875089.1701
-2560345.24702,5076289.60103,-2874988.19172
-2560183.35378,5076366.78691,-2874996.07648
-2560305.48583,5076222.93109,-2875141.31359
-2560130.30702,5076422.02754,-2874945.77503
-2560216.7014,5076358.64774,-2874980.75149
-2560452.50192,5076245.06266,-2874971.31278
-2560104.57159,5076378.15919,-2875046.15048
-2560334.46133,5076310.74356,-2874960.46599
-2560188.62095,5076270.73249,-2875160.98256
-2560159.89028,5076427.75537,-2874909.31695
-2560386.07445,5076207.53751,-2875096.72635
-2560133.11819,5076380.61998,-2875016.38574
-2560330.49373,5076391.39196,-2874821.5942
-2560418.21147,5076201.493,-2875078.77889
-2560338.9657,5076362.5984,-2874864.89253
-2560234.75585,5076271.77441,-2875118.06145
-2560203.25634,5076408.21118,-2874905.20882
-2560379.58992,5076280.61415,-2874973.47499
-2560454.68885,5076223.33254,-2875007.73295
-2560132.01909,5076354.86187,-2875062.84474
-2560291.76264,5076253.78333,-2875099.06219
-2560175.34223,5076309.80481,-2875103.82119
-2560283.54705,5076330.79006,-2874970.41177
-2560383.30163,5076248.66398,-2875026.58252
-2560138.21608,5076315.56326,-2875126.71316
-2560160.94312,5076293.74844,-2875144.99197
-2560207.69346,5076342.19722,-2875017.8196
-2560204.03064,5076431.58438,-2874863.24728
-2560272.12898,5076418.06416,-2874826.47537
-2560234.38247,5076244.8566,-2875165.91915
-2560153.67491,5076386.6958,-2874987.35224
-2560404.16531,5076344.05713,-2874839.5649
-2560400.40658,5076308.75328,-2874905.2505
-2560281.54038,5076369.31753,-2874904.16988
-2560390.98159,5076224.16299,-2875063.00252
-2560452.88585,5076282.64243,-2874904.61641
-2560275.21709,5076222.21263,-2875169.536
